"CRUISEID","YR","SOURCE","VESSEL","CRUISE_NO","STARTCRU","ENDCRU","TITLE","NOTE","INGEST_SOURCE","INGEST_PROGRAM_VER"
"25","1983","LA","25","833","5/7/1983","5/7/1983","Spring SEAMAP Plankton Survey","0",,
"26","1983","TX","16","833","6/7/1983","11/7/1983","Summer SEAMAP Groundfish Survey","0",,
"27","1983","FL","09","832","12/7/1983","14/7/1983","Fall SEAMAP Plankton Survey","0",,
"28","1983","US","04","138","12/10/1983","14/11/1983","Fall Groundfish Survey","0",,
"29","1983","LA","25","834","17/10/1983","17/11/1983","Fall SEAMAP Plankton Survey","0",,
"30","1983","MS","17","832","18/10/1983","18/10/1983","Fall SEAMAP Plankton Survey","0",,
"31","1983","US","04","140","8/12/1983","21/12/1983","Winter SEAMAP Plankton Survey","0",,
"32","1984","US","04","142","8/3/1984","11/4/1984","Spring Groundfish/Plankton Survey","0",,
"33","1984","US","04","143","21/4/1984","22/5/1984","Spring SEAMAP Plankton Survey","0",,
"34","1984","LA","25","841","5/6/1984","20/6/1984","Summer SEAMAP Groundfish Survey","0",,
"35","1984","US","04","145","6/6/1984","6/6/1984","Summer SEAMAP Groundfish Survey","0",,
"36","1984","AL","23","841","6/6/1984","25/7/1984","Summer SEAMAP Groundfish Survey","0",,
"37","1984","MS","17","841","8/6/1984","27/7/1984","Summer SEAMAP Groundfish Survey","0",,
"38","1984","LA","25","842","9/7/1984","24/7/1984","Summer SEAMAP Groundfish Survey","0",,
"39","1984","US","04","146","2/8/1984","27/8/1984","Fall SEAMAP Plankton Survey","0",,
"40","1984","LA","25","843","14/8/1984","24/10/1984","Fall SEAMAP Plankton Survey","0",,
"41","1984","FL","30","841","25/8/1984","29/8/1984","Fall SEAMAP Plankton Survey","0",,
"42","1984","US","04","148","9/10/1984","14/11/1984","Fall Groundfish Survey","0",,
"43","1984","LA","25","844","31/10/1984","28/11/1984","Fall SEAMAP Plankton Survey","0",,
"44","1984","MS","17","842","7/11/1984","8/11/1984","Winter SEAMAP Plankton Survey","0",,
"45","1984","US","04","149","1/12/1984","17/12/1984","Winter SEAMAP Plankton Survey","0",,
"46","1985","US","04","151","5/3/1985","28/3/1985","Spring Groundfish Survey","0",,
"47","1985","FL","30","851","5/6/1985","14/6/1985","Spring SEAMAP Plankton Survey","0",,
"48","1985","US","04","153","10/6/1985","10/6/1985","Summer SEAMAP Groundfish Survey","0",,
"49","1985","LA","25","851","10/6/1985","26/6/1985","Summer SEAMAP Groundfish Survey","0",,
"50","1985","AL","23","851","10/6/1985","15/7/1985","Summer SEAMAP Groundfish Survey","0",,
"51","1985","MS","17","851","10/6/1985","12/6/1985","Summer SEAMAP Groundfish Survey","0",,
"52","1985","TX","32","851","15/6/1985","26/6/1985","Summer SEAMAP Groundfish Survey","0",,
"53","1985","LA","35","852","18/6/1985","21/6/1985","Summer SEAMAP Groundfish Survey","0",,
"54","1985","TX","31","851","26/6/1985","29/6/1985","Summer SEAMAP Groundfish Survey","0",,
"55","1985","TX","33","851","29/6/1985","1/7/1985","Summer SEAMAP Groundfish Survey","0",,
"56","1985","LA","35","853","22/7/1985","25/7/1985","Summer SEAMAP Groundfish Survey","0",,
"57","1985","US","04","154","30/7/1985","26/8/1985","SEAMAP Butterfish Survey","0",,
